epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.435,3.87927,5.46754,2.45341,0.86955,0.08267,0.14479,0.08076,3.20083,4.10295,2.15887,0.000472191,0.000472191,0.000472191
2,543.518,3.22353,2.97899,2.22141,0.83928,0.17869,0.17254,0.0982,3.05216,3.95541,2.20402,0.000936004,0.000936004,0.000936004
3,812.689,3.19099,2.71961,2.20127,0.86464,0.20121,0.20573,0.11696,3.07161,3.30839,2.20851,0.00138724,0.00138724,0.00138724
4,1082.08,3.08113,2.4849,2.19969,0.89226,0.21083,0.22725,0.13717,2.96042,2.63574,2.16974,0.00137241,0.00137241,0.00137241
5,1351.64,3.00736,2.3344,2.14863,0.83947,0.18608,0.17454,0.11222,3.05774,3.96008,2.25837,0.00135355,0.00135355,0.00135355
6,1620.3,2.94815,2.18948,2.14322,0.91542,0.22573,0.25394,0.15642,2.79881,2.26565,2.08386,0.00133469,0.00133469,0.00133469
7,1890.78,2.94431,2.13692,2.12844,0.894,0.24258,0.27547,0.17576,2.87118,2.48366,2.13796,0.00131582,0.00131582,0.00131582
8,2157.29,2.88594,2.04609,2.11781,0.92439,0.24028,0.26899,0.17137,2.74306,2.11989,2.06959,0.00129696,0.00129696,0.00129696
9,2425.19,2.79611,1.9632,2.08369,0.92343,0.23671,0.28626,0.19054,2.66844,2.10163,2.06842,0.0012781,0.0012781,0.0012781
10,2693.57,2.7731,1.94233,2.07072,0.92193,0.25843,0.28167,0.18586,2.62272,1.87461,2.03921,0.00125923,0.00125923,0.00125923
11,2962.64,2.74687,1.8623,2.05013,0.91984,0.24215,0.26948,0.17391,2.79092,2.00555,2.05869,0.00124037,0.00124037,0.00124037
12,3232.74,2.72362,1.82735,2.04082,0.91707,0.23705,0.26539,0.1755,2.81532,2.15675,2.09647,0.00122151,0.00122151,0.00122151
13,3502.04,2.67817,1.79979,2.02342,0.93024,0.24633,0.28514,0.19288,2.52866,1.7443,2.01743,0.00120265,0.00120265,0.00120265
14,3771.19,2.65838,1.76475,2.0212,0.93335,0.25935,0.29349,0.20315,2.46959,1.79131,1.99016,0.00118378,0.00118378,0.00118378
15,4040.15,2.64708,1.74538,2.02369,0.92439,0.2567,0.29999,0.20571,2.64313,1.87986,2.04601,0.00116492,0.00116492,0.00116492
16,4309.46,2.63449,1.72468,2.00357,0.94155,0.25471,0.29378,0.20011,2.537,1.73233,2.01638,0.00114606,0.00114606,0.00114606
17,4578.08,2.61495,1.6989,2.02069,0.94052,0.26188,0.30272,0.20336,2.56295,1.74217,2.00539,0.0011272,0.0011272,0.0011272
18,4845.02,2.54809,1.64048,1.99604,0.943,0.27413,0.30913,0.21221,2.51017,1.53289,2.00803,0.00110833,0.00110833,0.00110833
19,5114.41,2.5064,1.61971,1.97841,0.94403,0.26808,0.30447,0.21481,2.41198,1.59108,1.96643,0.00108947,0.00108947,0.00108947
20,5383.72,2.46146,1.55784,1.96282,0.93971,0.27791,0.31247,0.22014,2.35597,1.52429,1.931,0.00107061,0.00107061,0.00107061
21,5652.19,2.49428,1.56616,1.96347,0.94391,0.27127,0.3141,0.21622,2.46339,1.56337,1.96958,0.00105174,0.00105174,0.00105174
22,5920.53,2.46029,1.53855,1.95894,0.94503,0.27053,0.32582,0.22917,2.31504,1.50927,1.93072,0.00103288,0.00103288,0.00103288
23,6187.98,2.43663,1.52383,1.94999,0.9418,0.26952,0.30296,0.21452,2.40963,1.53459,1.95776,0.00101402,0.00101402,0.00101402
24,6455,2.44848,1.51989,1.95217,0.94907,0.27643,0.32206,0.22371,2.31704,1.57153,1.94035,0.000995156,0.000995156,0.000995156
25,6723.51,2.43664,1.50749,1.94595,0.95375,0.27096,0.33146,0.23562,2.34161,1.48379,1.94734,0.000976293,0.000976293,0.000976293
26,6992.43,2.42574,1.49366,1.94867,0.95245,0.28104,0.33523,0.23479,2.31652,1.37256,1.94106,0.00095743,0.00095743,0.00095743
27,7261.1,2.35816,1.45017,1.933,0.94218,0.2773,0.30472,0.21836,2.33783,1.53667,1.94026,0.000938567,0.000938567,0.000938567
28,7528.81,2.33172,1.42036,1.92374,0.95345,0.28306,0.35859,0.25649,2.30718,1.43018,1.91978,0.000919704,0.000919704,0.000919704
29,7797.9,2.37121,1.44685,1.92956,0.95561,0.27773,0.35257,0.24665,2.26861,1.3287,1.91978,0.000900842,0.000900842,0.000900842
30,8066.6,2.33157,1.40762,1.92084,0.61014,0.27158,0.32057,0.22697,2.35816,1.44972,1.9359,0.000881979,0.000881979,0.000881979
31,8335.06,2.32002,1.40505,1.92615,0.95188,0.27816,0.39509,0.25357,2.33514,1.39494,1.93177,0.000863116,0.000863116,0.000863116
32,8603.55,2.32318,1.39436,1.9185,0.29178,0.34513,0.35984,0.25013,2.29247,1.44515,1.91428,0.000844253,0.000844253,0.000844253
33,8872.6,2.31776,1.38439,1.92249,0.52124,0.38018,0.41664,0.29371,2.20533,1.32249,1.88907,0.00082539,0.00082539,0.00082539
34,9140.17,2.27678,1.3548,1.90577,0.62111,0.28481,0.37073,0.25456,2.21439,1.31549,1.90213,0.000806528,0.000806528,0.000806528
