epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.453,3.87927,5.46754,2.45341,0.86955,0.08267,0.14479,0.08076,3.20083,4.10295,2.15887,0.000472191,0.000472191,0.000472191
2,818.285,3.23011,2.97365,2.22025,0.49494,0.18136,0.16218,0.09409,3.02146,4.94365,2.18507,0.000939134,0.000939134,0.000939134
3,1213.41,3.18162,2.73646,2.20103,0.15416,0.19075,0.16275,0.09233,3.14208,6.22246,2.28542,0.00139665,0.00139665,0.00139665
4,1595.75,3.08209,2.48248,2.19784,0.51732,0.20787,0.18892,0.1145,3.06635,3.31447,2.21868,0.00138656,0.00138656,0.00138656
5,1985.65,3.01613,2.34507,2.15285,0.8902,0.20815,0.22587,0.14797,2.89668,2.45478,2.15247,0.00137241,0.00137241,0.00137241
6,2368.01,2.94328,2.20578,2.13629,0.89989,0.22357,0.25469,0.15914,2.85342,2.22636,2.09579,0.00135826,0.00135826,0.00135826
7,2745.51,2.90882,2.10515,2.12035,0.91086,0.23718,0.26781,0.16676,2.93476,2.40857,2.1494,0.00134412,0.00134412,0.00134412
8,3120.35,2.86677,2.04479,2.11355,0.9141,0.2336,0.25725,0.16633,2.80624,2.21503,2.08644,0.00132997,0.00132997,0.00132997
9,3498.57,2.78455,1.94349,2.07991,0.90475,0.23404,0.25481,0.16835,2.68885,2.61001,2.07439,0.00131582,0.00131582,0.00131582
10,3877.49,2.79024,1.94804,2.08234,0.91994,0.24878,0.27425,0.17726,2.70289,2.11495,2.0733,0.00130168,0.00130168,0.00130168
11,4256.25,2.73984,1.8587,2.05533,0.91785,0.23912,0.26647,0.16525,2.99723,2.0715,2.1353,0.00128753,0.00128753,0.00128753
12,4638.24,2.70126,1.81078,2.04268,0.93146,0.24596,0.28031,0.18535,2.70231,1.86629,2.0404,0.00127338,0.00127338,0.00127338
13,4921.61,2.67443,1.80466,2.02459,0.92829,0.25224,0.28159,0.19254,2.55521,1.92282,2.02748,0.00125923,0.00125923,0.00125923
14,5205.57,2.68758,1.77249,2.02656,0.93366,0.25007,0.27686,0.18262,2.81164,1.88025,2.07358,0.00124509,0.00124509,0.00124509
15,5491.13,2.66925,1.76721,2.0357,0.91535,0.25065,0.30163,0.20695,2.61601,2.07754,2.0487,0.00123094,0.00123094,0.00123094
16,5768.98,2.63355,1.73089,2.01116,0.93954,0.25809,0.29561,0.20156,2.58311,1.68925,2.03912,0.00121679,0.00121679,0.00121679
17,6044.63,2.61001,1.69413,2.02242,0.94035,0.25468,0.31772,0.2175,2.54018,1.76009,2.01433,0.00120265,0.00120265,0.00120265
18,6316.46,2.56837,1.65118,2.00774,0.94604,0.27154,0.30949,0.21407,2.4463,1.56182,1.96827,0.0011885,0.0011885,0.0011885
19,6599.54,2.51089,1.61432,1.97976,0.94644,0.25882,0.32317,0.22991,2.43634,1.61179,1.97819,0.00117435,0.00117435,0.00117435
20,6900.72,2.49478,1.60565,1.97981,0.94045,0.26419,0.33776,0.23319,2.47072,1.72474,1.99465,0.00116021,0.00116021,0.00116021
21,7185.65,2.53233,1.59533,1.98128,0.95061,0.2774,0.31279,0.21305,2.47583,1.56476,1.97116,0.00114606,0.00114606,0.00114606
22,7471.21,2.48263,1.55147,1.97035,0.95363,0.27099,0.32628,0.21712,2.48167,1.51744,1.97516,0.00113191,0.00113191,0.00113191
23,7737.72,2.45937,1.54363,1.95861,0.93975,0.26678,0.31246,0.22184,2.39637,1.57732,1.97925,0.00111776,0.00111776,0.00111776
24,8003.59,2.46721,1.54117,1.95945,0.95253,0.26628,0.33946,0.22052,2.3803,1.56608,1.94705,0.00110362,0.00110362,0.00110362
25,8269.99,2.47075,1.52532,1.95906,0.9482,0.2654,0.33443,0.23277,2.44184,1.53528,1.98918,0.00108947,0.00108947,0.00108947
26,8537.13,2.45739,1.51954,1.96081,0.94612,0.27485,0.30949,0.21211,2.37326,1.54456,1.93987,0.00107532,0.00107532,0.00107532
27,8804.92,2.39254,1.46471,1.94703,0.95494,0.27917,0.34462,0.24126,2.30107,1.37456,1.92517,0.00106118,0.00106118,0.00106118
28,9070.85,2.37241,1.43256,1.93536,0.95346,0.27975,0.33314,0.23373,2.30561,1.49531,1.92285,0.00104703,0.00104703,0.00104703
29,9443.42,2.39755,1.45006,1.93803,0.94343,0.27558,0.32338,0.23037,2.3203,1.43246,1.94479,0.00103288,0.00103288,0.00103288
30,9825.58,2.35768,1.42423,1.92858,0.63737,0.35998,0.36549,0.24516,2.33223,1.37861,1.9368,0.00101873,0.00101873,0.00101873
31,10206.2,2.3649,1.42951,1.93886,0.76327,0.33405,0.36152,0.24682,2.34071,1.40994,1.93755,0.00100459,0.00100459,0.00100459
32,10588.4,2.3666,1.42602,1.93375,0.70584,0.36387,0.35883,0.24022,2.29256,1.39152,1.91821,0.00099044,0.00099044,0.00099044
33,10970.3,2.33051,1.38443,1.92955,0.91766,0.34065,0.3923,0.27817,2.28093,1.37156,1.91562,0.000976293,0.000976293,0.000976293
34,11353.2,2.3074,1.36971,1.91493,0.81714,0.30207,0.37507,0.2549,2.26682,1.37103,1.91444,0.000962146,0.000962146,0.000962146
35,11734.2,2.32735,1.37989,1.9177,0.26512,0.35119,0.36816,0.26155,2.22067,1.2903,1.90363,0.000947999,0.000947999,0.000947999
36,12114.1,2.31943,1.3797,1.92821,0.95386,0.27973,0.36551,0.24913,2.24971,1.35289,1.89746,0.000933851,0.000933851,0.000933851
37,12496.9,2.32815,1.38154,1.9095,0.73792,0.35782,0.36366,0.26534,2.20571,1.26912,1.8803,0.000919704,0.000919704,0.000919704
38,12879.2,2.26202,1.34231,1.90163,0.83763,0.32411,0.41425,0.28996,2.1767,1.27774,1.8877,0.000905557,0.000905557,0.000905557
39,13262.3,2.26375,1.33745,1.89621,0.80852,0.3535,0.38664,0.26989,2.16161,1.27537,1.86619,0.00089141,0.00089141,0.00089141
40,13645.6,2.25115,1.31399,1.89149,0.93488,0.33351,0.4545,0.31938,2.14781,1.22275,1.8662,0.000877263,0.000877263,0.000877263
41,13929.8,2.26648,1.30821,1.8962,0.74006,0.34558,0.3973,0.28181,2.13136,1.21989,1.86541,0.000863116,0.000863116,0.000863116
42,14202.2,2.21893,1.30071,1.89559,0.79037,0.37291,0.44913,0.31828,2.18888,1.25197,1.88056,0.000848969,0.000848969,0.000848969
43,14471.1,2.22107,1.29314,1.88661,0.89217,0.33388,0.40768,0.29317,2.16928,1.27022,1.86587,0.000834822,0.000834822,0.000834822
44,14740.2,2.22739,1.30643,1.89894,0.8194,0.37284,0.45929,0.33729,2.11035,1.18007,1.85601,0.000820675,0.000820675,0.000820675
45,15011.5,2.20098,1.27608,1.87909,0.71769,0.44176,0.51095,0.35865,2.11146,1.16711,1.85441,0.000806528,0.000806528,0.000806528
46,15281.8,2.1658,1.24992,1.87475,0.63771,0.4835,0.51972,0.35838,2.10029,1.21387,1.85412,0.00079238,0.00079238,0.00079238
47,15555.2,2.17241,1.25935,1.86907,0.66728,0.43473,0.48249,0.34399,2.15299,1.19457,1.87147,0.000778233,0.000778233,0.000778233
48,15827.8,2.16584,1.24433,1.87762,0.58549,0.5348,0.54065,0.37192,2.05129,1.14629,1.83829,0.000764086,0.000764086,0.000764086
49,16101.4,2.13426,1.2261,1.86211,0.57339,0.51375,0.49632,0.34055,2.1402,1.15761,1.86391,0.000749939,0.000749939,0.000749939
50,16372.6,2.13533,1.22318,1.85608,0.49805,0.52461,0.48487,0.34213,2.07963,1.19972,1.85411,0.000735792,0.000735792,0.000735792
51,16644.4,2.14106,1.24156,1.86589,0.5167,0.50316,0.52564,0.37405,2.04516,1.17657,1.83599,0.000721645,0.000721645,0.000721645
52,16917,2.13074,1.2161,1.85793,0.64228,0.39803,0.45651,0.31703,2.06285,1.16601,1.83921,0.000707498,0.000707498,0.000707498
53,17188,2.10491,1.20186,1.8527,0.57096,0.53378,0.51761,0.37013,2.02589,1.17006,1.84119,0.000693351,0.000693351,0.000693351
54,17459.4,2.10647,1.2017,1.85,0.64757,0.56537,0.56725,0.41102,1.95892,1.08197,1.82326,0.000679204,0.000679204,0.000679204
55,17731.5,2.08121,1.18761,1.84725,0.65803,0.52891,0.55263,0.40952,1.98782,1.14059,1.83157,0.000665057,0.000665057,0.000665057
56,18002,2.07644,1.18797,1.85361,0.73267,0.5069,0.6005,0.44848,1.99761,1.11138,1.82618,0.000650909,0.000650909,0.000650909
57,18273.2,2.0653,1.18434,1.85041,0.71189,0.60126,0.62534,0.45795,1.97964,1.09442,1.82456,0.000636762,0.000636762,0.000636762
58,18541,2.06152,1.1703,1.85331,0.78651,0.49964,0.56414,0.40788,2.03688,1.16903,1.83113,0.000622615,0.000622615,0.000622615
59,18811.9,2.01721,1.15556,1.83121,0.64541,0.5849,0.62754,0.45822,1.89552,1.06653,1.80438,0.000608468,0.000608468,0.000608468
60,19082.5,2.00908,1.13991,1.8297,0.77097,0.50791,0.61916,0.4687,1.88362,1.03963,1.80164,0.000594321,0.000594321,0.000594321
61,19351.8,2.02818,1.14971,1.83856,0.65534,0.59734,0.64091,0.45996,1.92814,1.03559,1.80442,0.000580174,0.000580174,0.000580174
62,19622.9,1.99456,1.13281,1.82538,0.65259,0.55758,0.61388,0.43323,1.91203,1.05397,1.80638,0.000566027,0.000566027,0.000566027
63,19891.8,1.97941,1.11802,1.82259,0.9147,0.51978,0.61991,0.43877,1.94232,1.05363,1.81874,0.00055188,0.00055188,0.00055188
64,20160.9,1.98429,1.12779,1.82492,0.67289,0.50196,0.56789,0.43076,1.89227,1.06654,1.80463,0.000537733,0.000537733,0.000537733
65,20431.9,1.99327,1.11209,1.8192,0.60063,0.58514,0.63583,0.45898,1.87122,1.00941,1.79694,0.000523586,0.000523586,0.000523586
66,20701.7,1.98798,1.12875,1.82033,0.86448,0.5331,0.64825,0.48535,1.89389,1.02559,1.79999,0.000509438,0.000509438,0.000509438
67,20973.1,1.95954,1.10574,1.82098,0.8296,0.55133,0.64553,0.48157,1.85445,1.00681,1.7889,0.000495291,0.000495291,0.000495291
68,21243,1.95063,1.09695,1.81379,0.81595,0.56959,0.64529,0.48743,1.87447,1.00238,1.79269,0.000481144,0.000481144,0.000481144
69,21513.4,1.97271,1.09793,1.82078,0.77893,0.58158,0.63814,0.44445,1.83883,1.00005,1.78679,0.000466997,0.000466997,0.000466997
70,21784.1,1.95535,1.0959,1.81142,0.82249,0.55123,0.63747,0.4593,1.86334,1.03407,1.79393,0.00045285,0.00045285,0.00045285
71,22055,1.95535,1.09367,1.80851,0.76733,0.63588,0.69096,0.49564,1.8305,0.98884,1.78354,0.000438703,0.000438703,0.000438703
72,22323.7,1.94627,1.08582,1.81583,0.73029,0.64994,0.647,0.4816,1.81138,0.98226,1.78402,0.000424556,0.000424556,0.000424556
73,22593.8,1.92302,1.07784,1.80657,0.72982,0.59494,0.65125,0.48415,1.76874,0.97368,1.77621,0.000410409,0.000410409,0.000410409
74,22863.8,1.86745,1.05853,1.80223,0.83944,0.59087,0.67551,0.51272,1.79233,0.991,1.77577,0.000396262,0.000396262,0.000396262
75,23135.6,1.87764,1.04966,1.79583,0.90436,0.6377,0.71899,0.53642,1.76821,0.96324,1.77679,0.000382115,0.000382115,0.000382115
76,23406.4,1.87461,1.05183,1.80265,0.63384,0.73115,0.67396,0.49445,1.75047,0.9536,1.76686,0.000367967,0.000367967,0.000367967
77,23676.8,1.88304,1.04178,1.80543,0.80057,0.63732,0.70224,0.52841,1.76281,0.95759,1.77234,0.00035382,0.00035382,0.00035382
78,23948.1,1.86459,1.05169,1.80213,0.78375,0.67391,0.71928,0.52896,1.71778,0.94478,1.75806,0.000339673,0.000339673,0.000339673
79,24219.9,1.86124,1.04785,1.79995,0.89213,0.65733,0.73689,0.55501,1.72934,0.9374,1.76142,0.000325526,0.000325526,0.000325526
80,24492.1,1.85575,1.04305,1.79259,0.75192,0.67975,0.70949,0.51966,1.74133,0.93088,1.76662,0.000311379,0.000311379,0.000311379
81,24762.3,1.82723,1.03379,1.78605,0.92248,0.62628,0.70787,0.53201,1.69728,0.92211,1.759,0.000297232,0.000297232,0.000297232
82,25033,1.83915,1.02904,1.78306,0.67503,0.6822,0.70799,0.52352,1.68039,0.91694,1.75289,0.000283085,0.000283085,0.000283085
